id,verbatim,star_rating,timestamp
kb-001,"I updated the Kora app last Tuesday and now I can't login at all. I reset my password twice and payment failed when I tried to send school fees. My neighbour uses Equity and never has this problem — I'm seriously switching.",1,2026-01-02T08:14:00Z
kb-002,"Someone withdrew 85000 shillings from my Kora account without permission while I was asleep. I need help now and nobody is picking up the fraud line!",1,2026-01-02T11:42:00Z
kb-003,"Fast transfers and a clean UI. Support resolved my locked account in under ten minutes yesterday. I recommend Kora to everyone at the office.",5,2026-01-03T09:05:00Z
kb-004,"Love the new Kora design and the savings goals are great, but KYC upload keeps failing every time I take a photo of my ID. Twenty minutes wasted and verification is still pending.",3,2026-01-03T14:18:00Z
kb-005,ok,4,2026-01-03T16:00:00Z
kb-006,"The ATM on Moi Avenue swallowed my Kora card and the branch manager said I must wait five working days. Unacceptable when I have rent due tomorrow.",2,2026-01-04T10:22:00Z
kb-007,"Interest rates on Kora savings are great and the auto-save round-up feature is a game changer for my chama contributions. Very impressed with the budgeting insights too.",5,2026-01-04T13:40:00Z
kb-008,"App crashes every single time I try to pay bills through Kora. I've cleared cache reinstalled twice. Considering Monzo instead because my cousin says their app never breaks.",1,2026-01-05T19:55:00Z
kb-009,"Customer service agent was rude and hung up while I was explaining a duplicate charge. Still waiting for callback three days later.",2,2026-01-06T12:08:00Z
kb-010,"Loan approval through Kora was instant and the process was transparent from start to finish. The rate explanation in the app helped me decide. Very impressed.",5,2026-01-06T15:33:00Z
kb-011,"OTP never arrives so I cannot complete a transfer to my supplier. Security feels broken when I am locked out of my own money.",1,2026-01-07T09:47:00Z
kb-012,"The budgeting insights helped me save 4200 this month on transport and airtime. Keep improving Kora — this is why I opened the account.",4,2026-01-07T18:25:00Z
kb-013,"Can't login after biometric update on my Samsung. Also payment failed for NHIF and nobody told me why.",1,2026-01-08T07:30:00Z
kb-014,"Great interest rate on fixed deposit but login is painful every Monday after the weekend maintenance window.",3,2026-01-08T11:15:00Z
kb-015,"Transfer to my wife's Kora wallet was fast and free. Love how clean the confirmation screen is.",5,2026-01-09T08:02:00Z
kb-016,"KYC pending for two weeks blocked my salary deposit. Support keeps saying upload again but the camera crashes the app.",2,2026-01-09T16:44:00Z
kb-017,"Fraud alert was slow — money left before I got the SMS. Need better real-time blocking on outbound transfers.",1,2026-01-10T13:19:00Z
kb-018,"Branch queue in Westlands was long but the teller resolved my statement issue politely. Mixed experience overall.",3,2026-01-10T17:50:00Z
kb-019,"Pay bills feature is broken after update. Crash crash crash. Uninstalling.",1,2026-01-11T20:11:00Z
kb-020,"Recommend Kora for diaspora remittance — my brother in London sends and it lands same day. Transparent fees.",5,2026-01-12T10:00:00Z
kb-021,"Password reset link expired three times. Cannot log in to pay rent. This is a basic problem.",2,2026-01-12T14:27:00Z
kb-022,"Nice app but OTP delay meant I missed a timed auction payment. Frustrated.",3,2026-01-13T09:18:00Z
kb-023,"ATM dispensed 5000 less than I requested. Branch investigation taking forever.",2,2026-01-13T15:36:00Z
kb-024,"Game changer for my small business — I can see cash flow and schedule supplier payments. Impressed with the dashboard.",5,2026-01-14T11:42:00Z
kb-025,"Someone tried to withdraw without permission but Kora blocked it. Relieved and grateful for the alert.",5,2026-01-14T22:05:00Z
kb-026,"Login works on WiFi but fails on mobile data. Payment also failed on Safaricom network.",2,2026-01-15T08:55:00Z
kb-027,"Customer service callback never came after I reported a failed M-Pesa pull. Waiting since Monday.",2,2026-01-15T13:20:00Z
kb-028,"Love the savings pots but hate that KYC rejected my selfie four times. Lighting was fine.",3,2026-01-16T10:11:00Z
kb-029,"Transfer failed twice to pay school fees. Error code meaningless. Considering moving salary to KCB.",1,2026-01-16T17:33:00Z
kb-030,"Fast clean recommend — best onboarding I have had with any Kenyan bank app.",5,2026-01-17T09:00:00Z
kb-031,"App crash during bill pay left me unsure if electricity token was bought. Had to buy twice.",1,2026-01-17T19:45:00Z
kb-032,"Support resolved my fraud case in 48 hours and reversed the transaction. Transparent communication throughout.",5,2026-01-18T14:12:00Z
kb-033,"Can't login on new phone until old device is deregistered but old phone is stolen. Catch-22.",1,2026-01-19T08:40:00Z
kb-034,"Interest rate on savings great but branch ATM network still thin outside Nairobi.",4,2026-01-19T16:28:00Z
kb-035,"Rude agent at call centre said I should read FAQ instead of helping with a failed payment.",2,2026-01-20T11:07:00Z
kb-036,"Budgeting feature helped me plan December holidays. Delighted with the weekly spend summary emails.",5,2026-01-20T18:55:00Z
kb-037,"Verification pending blocked international card use abroad. Upload keeps failing on hotel WiFi.",2,2026-01-21T07:22:00Z
kb-038,"Payment to contractor failed three times. Lost the job because funds did not arrive on time.",1,2026-01-21T15:48:00Z
kb-039,"Good",3,2026-01-22T12:00:00Z
kb-040,"Impressed with loan transparency but login after fingerprint change is still buggy on Android 15.",3,2026-01-22T20:30:00Z
kb-041,"Equity agent tried to poach me at the mall but I stayed because Kora rates are better. Happy customer.",4,2026-01-23T10:15:00Z
kb-042,"Withdraw without permission from linked card — anxious until support froze the account.",1,2026-01-23T23:10:00Z
kb-043,"Branch in Kisumu fixed my card issue same day. Great service recovery after a bad app week.",4,2026-01-24T13:44:00Z
kb-044,"Can't login can't pay can't breathe. Three failures in one morning.",1,2026-01-25T09:02:00Z
kb-045,"Recommend to freelancers — invoicing plus fast transfer is a game changer. Clean UI love it.",5,2026-01-25T17:20:00Z
kb-046,"Mixed feelings: love the design hate the downtime every Sunday night.",3,2026-01-26T08:33:00Z
kb-047,"OTP and login both broken during salary week. Unacceptable for a digital bank.",1,2026-01-26T14:59:00Z
kb-048,"Savings interest and auto-save are great. Support also resolved a wrong fee quickly.",5,2026-01-27T11:11:00Z
