id,verbatim,star_rating,nps_score,ces_score,timestamp
b-01,Can't login after the latest app update. Password reset worked once then failed again. Payment to school fees also bounced twice.,1,0,7,2026-01-10T08:15:00Z
b-02,Someone withdrew 45000 from my account without my permission. I need the fraud team to call me back immediately.,1,1,7,2026-01-11T14:22:00Z
b-03,Fast transfers and a clean interface. Customer support resolved my locked account in under ten minutes. I recommend this bank to colleagues.,5,10,1,2026-01-12T09:40:00Z
b-04,"Love the savings goals feature and the interest rate is competitive, but KYC photo upload keeps failing and verification is still pending after a week.",3,5,5,2026-01-13T16:05:00Z
b-05,App crashes every time I try to pay electricity bills. I have reinstalled twice. Considering switching to Equity because their app feels more stable.,1,1,7,2026-01-14T19:30:00Z
b-06,ATM on Kenyatta Avenue swallowed my card and branch staff said I must wait five working days. Unacceptable when I needed cash for medication.,2,4,5,2026-01-15T11:18:00Z
b-07,Loan approval was instant and the rate breakdown in the app was transparent. Very impressed with how clear the repayment schedule is.,5,9,3,2026-01-16T13:45:00Z
b-08,OTP for transfers never arrives on Safaricom. I missed a supplier deadline because I could not complete the payment.,1,1,7,2026-01-17T10:02:00Z
b-09,The budgeting insights helped me cut unnecessary spending this month. Auto-save round-ups are a game changer for my emergency fund.,5,10,1,2026-01-18T17:55:00Z
b-10,"Mixed experience: great design and fast support chat, but login with fingerprint fails every morning until I restart the phone.",3,5,5,2026-01-19T08:33:00Z
