id,verbatim,star_rating,timestamp
cs-001,"I've banked with Kora for two years but after three failed salary transfers I'm moving everything to Equity. Their agent at Thika Road already opened my account.",1,2026-01-02T08:00:00Z
cs-002,"KCB app lets me pay school fees without crashing. Kora crashed four times this week. Switching to KCB on Friday when my salary lands.",1,2026-01-03T09:12:00Z
cs-003,"My whole chama switched to M-Pesa savings because Kora OTP delays cost us a land deal. We are not coming back.",1,2026-01-03T17:45:00Z
cs-004,"Monzo works flawlessly in the UK and Kenya diaspora chat says Kora is unreliable for receiving remittance. Moving my brother's transfers to Monzo instead.",2,2026-01-04T10:30:00Z
cs-005,"Coop Bank branch in Nakuru solved my problem in person while Kora support never called back. Switching my business account to Coop Bank.",1,2026-01-04T14:20:00Z
cs-006,"Honestly Kora savings rate is good but I can't login after the update. Equity One Equity never does this to me — switching instead.",2,2026-01-05T07:55:00Z
cs-007,"Three colleagues left Kora for NCBA this quarter. I'm the last one holding out but payment failed again for rent.",1,2026-01-05T19:10:00Z
cs-008,"Absa waived my card fee when I complained. Kora charged me twice. Moving my credit line to Absa.",2,2026-01-06T11:33:00Z
cs-009,"Stanbic business banking has a real relationship manager. Kora only has a chatbot. Switching supplier payments to Stanbic.",1,2026-01-06T16:48:00Z
cs-010,"Love Kora design but KYC pending three weeks while my friend got verified on Equity in one day. Considering switching.",3,2026-01-07T08:22:00Z
cs-011,"M-Pesa till integration at my shop works better than Kora merchant. Most customers pay M-Pesa anyway — I'm dropping Kora POS.",2,2026-01-07T13:05:00Z
cs-012,"Can't login to Kora on trip but KCB app worked in Mombasa hotel. That decided it for me — switching.",1,2026-01-08T09:40:00Z
cs-013,"Equity agent campaigned at our estate and offered free ATM withdrawals. Kora ATM fees add up. Moving.",1,2026-01-08T18:15:00Z
cs-014,"My wife already switched to Monzo for daily spend. I'll close Kora joint account end of month.",2,2026-01-09T12:00:00Z
cs-015,"Payment failed for NHIF and Kora blamed Safaricom. Paid via M-Pesa instantly. Why am I still on Kora?",1,2026-01-09T20:30:00Z
cs-016,"KCB Vooma loan was faster than Kora's promised instant approval. Switching borrowing to KCB.",2,2026-01-10T07:18:00Z
cs-017,"Competitor apps don't crash during bill pay. Kora does. Uninstalling and moving to Equity.",1,2026-01-10T15:55:00Z
cs-018,"Diaspora group recommends Wise plus Equity instead of Kora for forex. I'm switching remittance route.",2,2026-01-11T10:44:00Z
cs-019,"Coop Bank fixed my card swallow at ATM same day. Kora branch said five days. Switching salary.",1,2026-01-11T17:22:00Z
cs-020,"Great UI on Kora but if I can't transfer on payday I'm gone. Equity it is.",3,2026-01-12T08:08:00Z
cs-021,"OTP never arrives — M-Pesa confirmation is instant. Moving daily float back to M-Pesa.",1,2026-01-12T14:36:00Z
cs-022,"NCBA Now app has better spending charts. Kora charts are basic. Switching for analytics.",2,2026-01-13T09:50:00Z
cs-023,"Abandoned Kora onboarding halfway because Equity verified me at the mall in ten minutes.",1,2026-01-13T16:12:00Z
cs-024,"Switching to KCB not because I hate Kora but because my employer only does payroll with KCB.",3,2026-01-14T11:25:00Z
cs-025,"Monzo friends split bills easily. Kora has nothing similar. Moving social spending to Monzo instead.",2,2026-01-14T19:40:00Z
cs-026,"Fraud on Kora account — Equity refunded a friend faster when it happened to them. I'm switching for peace of mind.",1,2026-01-15T08:33:00Z
cs-027,"Kora customer service hung up. KCB callback came in twenty minutes. That contrast sells.",1,2026-01-15T13:17:00Z
cs-028,"Landlord only accepts Equity paybill. Keeping small Kora balance but main account moving.",3,2026-01-16T10:05:00Z
cs-029,"App crashes every bill cycle. Third month considering M-Pesa only life.",1,2026-01-16T18:48:00Z
cs-030,"Interest rate on Kora savings is great — best among competitors — but login pain might still push me to Equity.",3,2026-01-17T09:22:00Z
cs-031,"Whole startup team switching to Stanbic for venture account perks. Kora too retail for us.",2,2026-01-17T15:30:00Z
cs-032,"Can't login after phone theft. Equity restored access in branch with ID. Kora wanted email proof for days.",1,2026-01-18T08:14:00Z
cs-033,"M-Pesa Lipa Na M-Pesa is what my customers use. Kora merchant fees higher. Switching collections.",1,2026-01-18T12:55:00Z
cs-034,"Recommend Equity to family now — used to recommend Kora until transfers kept failing.",2,2026-01-19T07:40:00Z
cs-035,"Kora vs KCB isn't close for ATM network outside Nairobi. Moving upcountry family accounts to KCB.",1,2026-01-19T17:08:00Z
cs-036,"Love Kora budgeting but switching to Monzo for travel card. Keeping Kora savings only.",3,2026-01-20T10:33:00Z
cs-037,"Payment failed for contractor — he insisted on Coop Bank. I opened Coop instead of fighting Kora.",2,2026-01-20T16:20:00Z
cs-038,"Equity marketing at church convinced my parents. Household switching off Kora together.",1,2026-01-21T09:45:00Z
cs-039,"Considering leaving Kora if next release doesn't fix login. Already downloaded NCBA app.",2,2026-01-21T21:10:00Z
cs-040,"Better than Kora for forex said the bureau — they meant Equity. Moving dollar account.",1,2026-01-22T11:28:00Z
